"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"8137931","2023","AGING","EVERYTABLE, PBC","2022-07-11T00:00:00.000","362209.75",,"2873789","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26230000000254","SUPPLIES & OTHER SERVICES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","VC0000033769","90058","EFT","PAID","PRC0223140102019",,,"2022-06-26T00:00:00.000","1","1","SC02CO22140102M","SERVICE END-DATE ADJUSTED TO 6/30/23 FOR THE REMAINING CASH","PAYMT TO INV# LADOA_WE062622","0",,"0","0","0","0",,"2022-06-22T00:00:00.000","14",,,,,"CITY",,,,"USD",,"VC0000033769-EVERYTABLE, PBC"
"8137932","2023","AGING","EVERYTABLE, PBC","2022-07-14T00:00:00.000","226911",,"2873789","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26230000000579","SUPPLIES & OTHER SERVICES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","VC0000033769","90058","EFT","PAID","PRC0223140102020",,,"2022-06-30T00:00:00.000","1","1","SC02CO22140102M","SERVICE END-DATE ADJUSTED TO 6/30/23 FOR THE REMAINING CASH","PYMT INV LADOA_062722-063022","0",,"0","0","0","0",,"2022-06-22T00:00:00.000","14",,,,,"CITY",,,,"USD",,"VC0000033769-EVERYTABLE, PBC"
"8137930","2023","AGING","EVERYTABLE, PBC","2022-07-08T00:00:00.000","226720.5",,"2873789","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26230000000202","SUPPLIES & OTHER SERVICES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","VC0000033769","90058","EFT","PAID","PRC0223140102018",,,"2022-06-05T00:00:00.000","1","1","SC02CO22140102M","SERVICE END-DATE ADJUSTED TO 6/30/23 FOR THE REMAINING CASH","PAYMT TO INV LADOA_WE060522","0",,"0","0","0","0",,"2022-06-22T00:00:00.000","14",,,,,"CITY",,,,"USD",,"VC0000033769-EVERYTABLE, PBC"
"8137933","2023","AGING","EVERYTABLE, PBC","2022-07-15T00:00:00.000","127132.5",,"2873789","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26230000000679","SUPPLIES & OTHER SERVICES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","VC0000033769","90058","EFT","PAID","PRC0223140102021",,,"2022-07-03T00:00:00.000","1","1","SC02CO22140102M","SERVICE END-DATE ADJUSTED TO 6/30/23 FOR THE REMAINING CASH","LADOA_070122-070322","0",,"0","0","0","0",,"2022-06-22T00:00:00.000","14",,,,,"CITY",,,,"USD",,"VC0000033769-EVERYTABLE, PBC"
"8137934","2023","AGING","EVERYTABLE, PBC","2022-07-06T00:00:00.000","80674.75",,"2873789","COMMUNITY DEVELOPMENT","GOVERNMENTAL","GENERAL FUND","GENERAL FUND (GENERAL BUDGET)","100","CONTRACTUAL SERVICES","003040","EFT26230000000029","SUPPLIES & OTHER SERVICES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","VC0000033769","90058","EFT","PAID","PRC0223140102017",,,"2022-05-31T00:00:00.000","1","1","SC02CO22140102M","SERVICE END-DATE ADJUSTED TO 6/30/23 FOR THE REMAINING CASH","PAYMT. TO INV LADOA_WE053122","0",,"0","0","0","0",,"2022-06-22T00:00:00.000","14",,,,,"CITY",,,,"USD",,"VC0000033769-EVERYTABLE, PBC"
"8122675","2023","AGING","ST BARNABAS SENIOR CENTER OF LOS ANGELES","2022-07-13T00:00:00.000","75130",,"563835","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","SENIOR CITYRIDE PROGRAM FUND","599","CITYRIDE PROGRAM","02V221","EFT26230000000441","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","100025319","90057","EFT","PAID","PRC0223599020003",,,"2022-06-28T00:00:00.000","1","1","SC02CO22NS139481Y","SC: SBSC NS OAA/CAA/FFCRA/CARES PER AMEND 2 FY2022","11_MAY 22 PROP A NS","0",,"0","0","0","0",,"2022-08-01T00:00:00.000","11",,,,,"CITY",,,,"USD",,"100025319-ST BARNABAS SENIOR CENTER OF LOS ANGELES"
"8122449","2023","AGING","WISE AND HEALTHY AGING","2022-07-08T00:00:00.000","63702",,"476416","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","TITLE VII OLDER AMERICANS ACT","564","OMBUDSMAN-CARES ACT","02VB03","EFT26230000000104","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","100004988","90401","EFT","PAID","PRC0223564020001",,,"2022-06-22T00:00:00.000","1","6","SC02CO22139450Y","SC: WISE OAA/OMBUDSMAN/CARES/EJ/OTO PER AMEND 2","03_SEP 21 7A CARES","0",,"0","0","0","0",,"2022-07-14T00:00:00.000","10",,,,,"CITY",,,,"USD",,"100004988-WISE AND HEALTHY AGING"
"8122324","2023","AGING","SAN FERNANDO VALLEY INTERFAITH COUNCIL INC","2022-07-14T00:00:00.000","62470",,"503722","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","SENIOR HUMAN SERVICES PROGRAM","42J","EMERGENCY SENIOR MEALS - NEW","02V998","EFT26230000000513","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","100002756","91401","EFT","PAID","PRC022342J020502",,,"2022-07-08T00:00:00.000","1","1","SC02CO22139423Y","SC: SFVIC CDBG EBP EMERG MEALS PER AMEND 1, CO139423 FY2022","11_MAY 22 EMERG MEALS MV","0",,"0","0","0","0",,"2022-06-16T00:00:00.000","9",,,,,"CITY",,,,"USD",,"100002756-SAN FERNANDO VALLEY INTERFAITH COUNCIL INC"
"8122694","2023","AGING","JEWISH FAMILY SERVICE OF LOS ANGELES","2022-07-11T00:00:00.000","56698",,"438283","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","HOME DELIVERED MEALS III C2","02VA04","EFT26230000000208","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","100004055","90036","EFT","PAID","PRC0223395020004",,,"2022-06-15T00:00:00.000","2","4","SC02CO22WW139339Y","SC: JFS-WW CO139339 FY22 PER AMEND 2","11_MAY 22 3C2 STATE WW","0",,"0","0","0","0",,"2022-07-07T00:00:00.000","17",,,,,"CITY",,,,"USD",,"100004055-JEWISH FAMILY SERVICE OF LOS ANGELES"
"8122804","2023","AGING","WILMINGTON JAYCEES FOUNDATION INC","2022-07-13T00:00:00.000","52078",,"713713","COMMUNITY DEVELOPMENT","GOVERNMENTAL","SPECIAL REVENUE","AREA PLAN FOR THE AGING TIT 7","395","TITLE III C2 FAMILIES FIRST ACT (HR6201)","02VA11","EFT26230000000424","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2023-01 (JUL)","2023-01","7","JULY,2022","JULY","FMS",,,"2","SENIOR SERVICES","100004989","90744","EFT","PAID","PRC0223395020018",,,"2022-06-22T00:00:00.000","2","1","SC02CO22139242Y","SC: WILMINGTON, T3,PA,CARES,FFCRA,CAA,OTO PER AMEND 3","11_MAY 22 3C2 FFCRA","0",,"0","0","0","0",,"2022-07-13T00:00:00.000","16",,,,,"CITY",,,,"USD",,"100004989-WILMINGTON JAYCEES FOUNDATION INC"
