"fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","fund_name","account_name","data_source","authority_name","zip","payment_method","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","po_date","supplier_city","supplier_country","item_code_name","currency","value_of_spend"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2017-05-15T00:00:00.000","2287.14","59297","MUNICIPAL SPORTS ACCOUNT","WEST DIST RECREATION CENTER","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001810612","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, 50/50, POLY/COTTON, HEAVYWEIGHT, WITH ONE COLOR PRINT LOGO, MINIMUM WEIGHT 5.5 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.22","LO","503","8.75","185.7","21.22","2017-03-08T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","2122.66"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-07-12T00:00:00.000","1936.97","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001709442","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, 50/50, POLY/COTTON, HEAVYWEIGHT, WITH ONE COLOR PRINT LOGO, MINIMUM WEIGHT 5.5 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.22","LO","425","9","161.41","17.94","2016-04-12T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1793.5"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-07-12T00:00:00.000","1476.67","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001709442","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, 50/50, POLY/COTTON, HEAVYWEIGHT, WITH ONE COLOR PRINT LOGO, MINIMUM WEIGHT 5.5 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.22","LO","324","9","123.06","13.67","2016-04-12T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1367.28"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-07-12T00:00:00.000","1308.03","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001707654","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, 50/50, POLY/COTTON, HEAVYWEIGHT, WITH ONE COLOR PRINT LOGO, MINIMUM WEIGHT 5.5 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.22","LO","287","9","109","12.11","2016-04-06T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1211.14"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-07-13T00:00:00.000","1114.56","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001709420","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.3","LO","240","9","92.88","10.32","2016-04-12T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1032"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-11-10T00:00:00.000","1064.25","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","1743656","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.3","LO","250","0","0","10.75","2016-07-29T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1075"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-11-10T00:00:00.000","1064.25","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","1743656","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.3","LO","250","0","0","10.75","2016-07-29T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1075"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-11-10T00:00:00.000","1009.8","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","1743656","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.08","LO","250","0","0","10.2","2016-07-29T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","1020"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-07-12T00:00:00.000","961.16","59297","MUNICIPAL SPORTS ACCOUNT","WEST DIST RECREATION CENTER","SMS","BUI UNIFORM COMPANY","90015","CHECK","0001709970","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","4.45","LO","200","9","80.06","8.9","2016-04-13T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","890"
"2017","RECREATION AND PARKS","BUI UNIFORM COMPANY","2016-11-10T00:00:00.000","868.72","59297","MUNICIPAL SPORTS ACCOUNT","SHORELINE DIST RECREATION CTR","SMS","BUI UNIFORM COMPANY","90015","CHECK","1743656","CAMP SHIRTS, T-SHIRTS, SHORT S","CAMP SHIRTS, T-SHIRTS, SHORT SLEEVES, PRO-WEIGHT, 100% COTTON, WITH ONE COLOR PRINT LOGO, MINIMUMWEIGHT 6.1 OZ., MINIMUM ORDER QUANTITY: 12 EACH","3.51","LO","250","0","0","8.78","2016-07-29T00:00:00.000","LOS ANGELES","USA","SHIRTS AND BLOUSES","USD","877.5"
