"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"4489018","2018","AIRPORTS","T. R. WARNER ENTERPRISES INC","2018-02-15T00:00:00.000","4380","110257.0","995278.0","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000216607","SUPPLIES AND OTHER SERVICES",,"8","2018-08 (FEB)","2018-03","2","FEBRUARY,2018","FEBRUARY","LAWA-SAP","T. R. WARNER ENTERPRISES INC",,"4",,"0000110257","90068","CHECK","PAID","5100473966.0",,,"2018-01-19T00:00:00.000","1","1","4500305479.0","ROYAL CANINE MOBILITY LARGE DRY DOG FOOD","ROYAL CANINE MOBILITY LARGE DRY DOG FOOD",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","4380","0000110257 - T. R. WARNER ENTERPRISES INC"
"4087756","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2017-03-09T00:00:00.000","2947.36","110257.0","995278.0","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000207563","SUPPLIES AND OTHER SERVICES",,"9","2017-09 (MAR)","2017-03","3","MARCH,2017","MARCH","LAWA-SAP","TR WARNER ENTERPRISES INC",,"4",,"0000110257","90068","CHECK","PAID","5100455615",,,"2017-01-31T00:00:00.000","1","1","4500296419.0","CANDIDAE DRY DOG FOOD 44LBS","CANDIDAE DRY DOG FOOD 44LBS",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","2947.36","0000110257 - TR WARNER ENTERPRISES INC"
"4087757","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2017-03-09T00:00:00.000","1471.5","110257.0","995278.0","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000207563","SUPPLIES AND OTHER SERVICES",,"9","2017-09 (MAR)","2017-03","3","MARCH,2017","MARCH","LAWA-SAP","TR WARNER ENTERPRISES INC",,"4",,"0000110257","90068","CHECK","PAID","5100455627",,,"2017-02-09T00:00:00.000","1","1","4500295663.0","NUTRO HIGH ENDURANCE DRY DOG FOOD #1","NUTRO HIGH ENDURANCE DRY DOG FOOD #1",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1471.5","0000110257 - TR WARNER ENTERPRISES INC"
"3905742","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2017-01-05T00:00:00.000","3928.36","110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000205951","SUPPLIES AND OTHER SERVICES",,"7","2017-07 (JAN)","2017-03","1","JANUARY,2017","JANUARY","LAWA-SAP","TR WARNER ENTERPRISES INC",,"4",,"110257","90068","CHECK","PAID","5100451799",,,"2016-11-29T00:00:00.000","1","1","4500294892","NUTRO HIGH ENDURANCE DRY DOG FOOD","NUTRO HIGH ENDURANCE DRY DOG FOOD",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","3928.36","0000110257 - TR WARNER ENTERPRISES INC"
"3903838","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2016-12-22T00:00:00.000","338.99","110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000205650","SUPPLIES AND OTHER SERVICES",,"6","2017-06 (DEC)","2017-02","12","DECEMBER,2016","DECEMBER","LAWA-SAP","TR WARNER ENTERPRISES INC",,"4",,"110257","90068","CHECK","PAID","5100450822",,,"2016-11-16T00:00:00.000","1","1","4500294657","ROYAL CANIN MOBILITY LARGE DRY DOG FOOD","ROYAL CANIN MOBILITY LARGE DRY DOG FOOD",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","338.99","0000110257 - TR WARNER ENTERPRISES INC"
"3757873","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2016-11-10T00:00:00.000","1569.6","110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000204672","SUPPLIES AND OTHER SERVICES",,"5","2017-05 (NOV)","2017-02","11","NOVEMBER,2016","NOVEMBER","LAWA-SAP","TR WARNER ENTERPRISES INC",,"4",,"110257","90068","CHECK","PAID","5100448159",,,"2016-10-13T00:00:00.000","1","1","4500293294","NUTRO HIGH ENDURANCE DRY DOG FOOD 30LB","NUTRO HIGH ENDURANCE DRY DOG FOOD 30LB",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1569.6","0000110257 - TR WARNER ENTERPRISES INC"
"3509311","2017","AIRPORTS","TR WARNER ENTERPRISES INC","2016-07-14T00:00:00.000","610.18","0000110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000201195","SUPPLIES AND OTHER SERVICES",,"1","2017-01 (JUL)","2017-01","7","JULY,2016","JULY","LAWA-SAP","TR WARNER ENTERPRISES INC",,"04",,"0000110257","90068","CHECK","PAID","5100441610",,,"2016-05-27T00:00:00.000","1","1","4500289390","ROYAL CANINE MOBILITY DOG FOOD 26.4 LBS","ROYAL CANINE MOBILITY DOG FOOD 26.4 LBS",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","610.18","0000110257 - TR WARNER ENTERPRISES INC"
"3455958","2016","AIRPORTS","TR WARNER ENTERPRISES INC","2016-06-09T00:00:00.000","2947.36","0000110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000200056","SUPPLIES AND OTHER SERVICES",,"12","2016-12 (JUN)","2016-04","6","JUNE,2016","JUNE","LAWA-SAP","TR WARNER ENTERPRISES INC",,"04",,"0000110257","90068","CHECK","PAID","5100438702",,,"2016-05-04T00:00:00.000","1","1","4500288656","CANIDAE DRY DOG FOOD (44 LB BAG) LINE #2","CANIDAE DRY DOG FOOD (44 LB BAG) LINE #2",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","2947.36","0000110257 - TR WARNER ENTERPRISES INC"
"3455959","2016","AIRPORTS","TR WARNER ENTERPRISES INC","2016-06-09T00:00:00.000","268.14","0000110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000200056","SUPPLIES AND OTHER SERVICES",,"12","2016-12 (JUN)","2016-04","6","JUNE,2016","JUNE","LAWA-SAP","TR WARNER ENTERPRISES INC",,"04",,"0000110257","90068","CHECK","PAID","5100438928",,,"2016-04-05T00:00:00.000","1","1","4500287702","TASTE OF THE WILD DRY DOG FOOD SALMON","TASTE OF THE WILD DRY DOG FOOD SALMON",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","268.14","0000110257 - TR WARNER ENTERPRISES INC"
"3404141","2016","AIRPORTS","TR WARNER ENTERPRISES INC","2016-05-19T00:00:00.000","1896.6","0000110257","995278","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000199347","SUPPLIES AND OTHER SERVICES",,"11","2016-11 (MAY)","2016-04","5","MAY,2016","MAY","LAWA-SAP","TR WARNER ENTERPRISES INC",,"04",,"0000110257","90068","CHECK","PAID","5100437638",,,"2016-04-25T00:00:00.000","1","1","4500287695","NUTRO HIGH ENDURANCE DOG FOOD","NUTRO HIGH ENDURANCE DOG FOOD",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1896.6","0000110257 - TR WARNER ENTERPRISES INC"
