"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"4120845","2017","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2017-04-03T00:00:00.000","15043","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26170000007658","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2017-10 (APR)","2017-04","4","APRIL,2017","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471744B470395",,,"2017-03-30T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"3994648","2017","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2017-02-08T00:00:00.000","5000","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26170000006178","CONTRIBUTIONS TO OTHER AGENCIES",,"8","2017-08 (FEB)","2017-03","2","FEBRUARY,2017","FEBRUARY","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471744B470298",,,"2017-02-06T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"3864151","2017","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2016-12-30T00:00:00.000","221","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26170000005032","CONTRIBUTIONS TO OTHER AGENCIES",,"6","2017-06 (DEC)","2017-02","12","DECEMBER,2016","DECEMBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471744B470212",,,"2016-12-28T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"3764573","2017","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2016-10-05T00:00:00.000","8940.73","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26170000002670","CONTRIBUTIONS TO OTHER AGENCIES",,"4","2017-04 (OCT)","2017-02","10","OCTOBER,2016","OCTOBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471744B470123",,,"2016-10-03T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"3304264","2016","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2016-04-06T00:00:00.000","316.55","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26160000007226","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2016-10 (APR)","2016-04","4","APRIL,2016","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471644B470377",,,"2016-04-04T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"2986150","2016","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2015-12-31T00:00:00.000","9498.85","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26160000004610","CONTRIBUTIONS TO OTHER AGENCIES",,"6","2016-06 (DEC)","2016-02","12","DECEMBER,2015","DECEMBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471644B470282",,,"2015-12-31T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"796540","2015","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2015-06-04T00:00:00.000","5861.64","CF140600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26150000009245","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2015-12 (JUN)","2015-04","6","JUNE,2015","JUNE","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471544B471268",,,"2015-06-02T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"794426","2015","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2015-05-29T00:00:00.000","34516.16","CF140600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26150000009103","CONTRIBUTIONS TO OTHER AGENCIES",,"11","2015-11 (MAY)","2015-04","5","MAY,2015","MAY","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471544B471179",,,"2015-05-27T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"779650","2015","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2015-04-30T00:00:00.000","85","CF140600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26150000008331","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2015-10 (APR)","2015-04","4","APRIL,2015","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471544B471031",,,"2015-04-27T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
"748108","2015","NEIGHBORHOOD EMPOWERMENT","CENTRAL ALAMEDA NC","2015-03-26T00:00:00.000","85","CF140600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","CENTRAL ALAMEDA","471093","EFT26150000006595","CONTRIBUTIONS TO OTHER AGENCIES",,"9","2015-09 (MAR)","2015-03","3","MARCH,2015","MARCH","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015792",,"EFT","PAID","DEX471544B470918",,,"2015-03-25T00:00:00.000","1","1",,"CENTRAL ALAMEDA",,,,,,,,,,"1",,,,,,,,,,,"VC0000015792 - CENTRAL ALAMEDA NC"
