"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"3120225","2013","AIRPORTS","CHICAGO TITLE COMPANY","2013-06-20T00:00:00.000","113324063","104168",,"TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168046","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","CHICAGO TITLE COMPANY",,"04",,"104168","90017","CHECK","PAID","1900017655",,,"2013-06-18T00:00:00.000","1","1",,,,,,,,,,,,,"LAWA",,"SAN BERNARDINO","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","113324063","0000104168 - CHICAGO TITLE COMPANY"
"3120342","2013","AIRPORTS","WALSH AUSTIN JOINT VENTURE","2013-06-20T00:00:00.000","20112890","109951","2429406","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168093","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","WALSH AUSTIN JOINT VENTURE",,"04",,"109951","60607","CHECK","PAID","5100374888",,,"2013-06-05T00:00:00.000","1","1","4500203981","CGMP 01 TO 20 PR 209133-040B","CGMP 01 TO 20 PR 209133-040B",,,,,,,,,,"LAWA",,"CHICAGO","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","20112890","0000109951 - WALSH AUSTIN JOINT VENTURE"
"3120343","2013","AIRPORTS","WALSH AUSTIN JOINT VENTURE","2013-06-20T00:00:00.000","10081556","109951","2429406","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168093","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","WALSH AUSTIN JOINT VENTURE",,"04",,"109951","60607","CHECK","PAID","5100375005",,,"2013-06-07T00:00:00.000","1","1","4500198843","CGMP 01 THROUGH 14 209050-046A","CGMP 01 THROUGH 14 209050-046A",,,,,,,,,,"LAWA",,"CHICAGO","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","10081556","0000109951 - WALSH AUSTIN JOINT VENTURE"
"3119126","2013","AIRPORTS","CLARK MCCARTHY","2013-06-06T00:00:00.000","5738293","108562","2179922","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000167588","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","CLARK MCCARTHY",,"04",,"108562","90045","CHECK","PAID","5100373708",,,"2013-05-20T00:00:00.000","1","1","4500243987","CUP - PAY REQUEST NO. 26","CUP - PAY REQUEST NO. 26",,,,,,,,,,"LAWA",,"IRVINE","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","5738293","0000108562 - CLARK MCCARTHY"
"3120345","2013","AIRPORTS","WALSH AUSTIN JOINT VENTURE","2013-06-20T00:00:00.000","4364605","109951","2429406","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168095","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","WALSH AUSTIN JOINT VENTURE",,"04",,"109951","91731","CHECK","PAID","5100375155",,,"2013-06-12T00:00:00.000","1","1","4500203981","CGMP 01 TO 20 PR 209133-040B-RET","CGMP 01 TO 20 PR 209133-040B-RET",,,,,,,,,,"LAWA",,"CHICAGO","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","4364605","0000109951 - WALSH AUSTIN JOINT VENTURE"
"3119638","2013","AIRPORTS","DELTA AIRLINES INC","2013-06-13T00:00:00.000","4007013.28","107400","724573","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000167830","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","DELTA AIRLINES INC",,"04",,"107400","90012","CHECK","PAID","1900017605",,,"2013-06-12T00:00:00.000","1","1",,,,,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","4007013.28","0000107400 - DELTA AIRLINES INC"
"3120731","2013","AIRPORTS","NEW SOUTH PARKING","2013-06-25T00:00:00.000","1867131.11","108908","2302051","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168246","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","NEW SOUTH PARKING",,"04",,"108908","90017","CHECK","PAID","5100375482",,,"2013-06-19T00:00:00.000","1","1","4500254783","OP/MGMT -PUBLIC PARKING LOTS AT VNY","OP/MGMT -PUBLIC PARKING LOTS AT VNY",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1867131.11","0000108908 - NEW SOUTH PARKING"
"3120752","2013","AIRPORTS","W. E. O'NEIL CONSTRUCTION CO","2013-06-25T00:00:00.000","1429182.07","110131","256159","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000168261","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","W. E. O'NEIL CONSTRUCTION CO",,"04",,"110131","90245","CHECK","PAID","5100375121",,,"2013-06-03T00:00:00.000","1","1","4500243452","ELEV UPGRADE & ESC SITE MOD. PR 12","ELEV UPGRADE & ESC SITE MOD. PR 12",,,,,,,,,,"LAWA",,"EL SEGUNDO","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1429182.07","0000110131 - W. E. O'NEIL CONSTRUCTION CO"
"3119978","2013","AIRPORTS","AECOM TECHNICAL SERVICES INC","2013-06-18T00:00:00.000","1283962.66","109265","8551","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000167942","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","AECOM TECHNICAL SERVICES INC",,"04",,"109265","60674","CHECK","PAID","5100374875",,,"2013-05-07T00:00:00.000","1","1","4500254522","PROGRAM MANAGER FOR VARIOUS PROJECTS","PROGRAM MANAGER FOR VARIOUS PROJECTS",,,,,,,,,,"LAWA",,"LOS ANGELES","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1283962.66","0000109265 - AECOM TECHNICAL SERVICES INC"
"3119852","2013","AIRPORTS","PARSONS TRANSPORTATION GROUP","2013-06-18T00:00:00.000","1188851.93","101671","148161","TRANSPORTATION, COMMERCE AND/OR ENTERPRISE","PROPRIETARY","ENTERPRISE","AIRPORT REVENUE FUND - LAX","700","SUPPLIES AND OTHER SERVICES","200","2000167902","SUPPLIES AND OTHER SERVICES",,"12","2013-12 (JUN)","2013-04","6","JUNE,2013","JUNE","LAWA-SAP","PARSONS TRANSPORTATION GROUP",,"04",,"101671","60695-1960","CHECK","PAID","5100374583",,,"2013-06-03T00:00:00.000","1","1","4500216631","TASK ORDER 39","TASK ORDER 39",,,,,,,,,,"LAWA",,"PASADENA","US",,"LOS ANGELES WORLD AIRPORTS",,,"USD","1188851.93","0000101671 - PARSONS TRANSPORTATION GROUP"
