"business_type","id","name","start_date","physical_address","mailing_address","mailing_city","business_phone","email","owner"
"BANK - BRANCH OFFICE","44618","TRUIST BANK (NEWBERRY RD)","2019-12-06T00:00:00.000","5080 W NEWBERRY RD","16650 WOODCREST WAY","CLERMONT","352-264-2000","MGOMEZ@BBANDT.COM","TRUIST  BANK"
"BARBER/COSMETOLOGIST/NAIL TECH","40716","PARK-SMITH, MARY","2014-01-01T00:00:00.000","5200 W NEWBERRY RD, STE D1","3916 SW 3RD AVE","GAINESVILLE","352-215-8602","SCISSORX@COX.NET","MARY  PARK-SMITH"
"BARBER/COSMETOLOGIST/NAIL TECH","19082","RIFFLE-KIMBRELL, DEBORAH LEE","1995-10-30T00:00:00.000","5001 NW 34TH BLVD, STE. E","5001 NW 34TH BLVD, STE. E","GAINESVILLE","352-514-1316","CURLYSTAMP2@AOL.COM","DEBORAH LEE  RIFFLE-KIMBRELL"
"INSURANCE COMPANY OR BROKER","34298","AMERICAN CASUALTY CO. OF READING PA.","2006-10-01T00:00:00.000","OUT OF STATE","151 N. FRANKLIN ST.","CHICAGO","312-822-1153","PREMIUM-MUNICIPALTAX@CNA.COM","CNA FINANCIAL"
"INSURANCE COMPANY OR BROKER","13974","FOREMOST INS. CO.","1995-09-18T00:00:00.000","OUT OF STATE",", P.O. BOX 2450","GRAND RAPIDS","616-956-3750",,
"INSURANCE COMPANY OR BROKER","14961","HARCO NATIONAL INS. CO.","2012-10-01T00:00:00.000","OUT OF STATE","4200 SIX FORKS RD, STE 1400","RALEIGH","919-833-1600",,"R.P.O."
"LAUNDRY-SELF SERVICE OR AUTOMATIC","35981","CSC SERVICEWORKS, INC","2007-07-01T00:00:00.000","UNIVERSITY OF FLORIDA, MURPHREE HALL","35 PINELAWN RD, STE 120","MELVILLE","516-349-8555","BPALLIAN@CSCSW.COM","CSC SERVICEWORKS INC"
"MARKETING SERVICES","27318","DIGITAL CONTROL LAB LLC","2001-08-01T00:00:00.000","4647 NW 6TH ST, STE. E","4647 NW 6TH ST, STE. E","GAINESVILLE","352-692-0800","KARL.GUGEL@DIGITALCONTROLLAB.COM","DIGITAL CONTROL LAB LLC"
"INSURANCE COMPANY OR BROKER","21511","WEST AMERICAN INS. CO.","1995-09-25T00:00:00.000","OUT OF STATE","175 BERKELEY ST","BOSTON","617-357-9500","LISA.REDDICK@LIBERTYMUTUAL.COM",
"PEDDLER","44227","DURR, SONNIE","2020-01-06T00:00:00.000","MOBILE ONLY","3324 NW 21ST DR","GAINESVILLE","352-231-5328",,"DURR, SONNIE"
