"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,03/22/2013 10:00:00 AM,03/22/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,10/19/2012 01:00:00 PM,,Oregon Garden Resort, Silverton,OR,Exact meeting room and time TBA,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,06/19/2014 09:00:00 AM,06/19/2014 12:30:00 PM,Mt. Bachelor Village, Bend,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,10/16/2015 01:00:00 PM,10/16/2015 04:00:00 PM,To Be Determined,Salem,OR,Time and Location TBD,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,06/14/2012 12:00:00 AM,,Seventh Mtn. Resort, Bend,OR,Exact time and location of meeting room TBA.,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,12/14/2012 10:00:00 AM,,1175 Court Street NE (OPDS Office), Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,06/13/2013 09:00:00 AM,06/13/2013 12:00:00 PM,Seventh Mountain Resort, Bend,OR,Time and precise location TBD,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,09/24/2013 10:00:00 AM,09/24/2013 02:00:00 PM,Office of Public Defense Services, Salem,OR,,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Regular Meeting,09/17/2015 10:00:00 AM,09/17/2015 02:00:00 PM,Hillsboro, Hillsboro,OR,,,Laura Al Omrani,,laura.a.alomrani@opds.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/OPDS/pages/pdscagendas.aspx,,,
Public Defense Services Commission,Public Defense Services Commission Meeting,Commission Meeting,10/25/2013 12:00:00 PM,10/25/2013 04:00:00 PM,"Salishan Lodge, Gleneden Beach", Lincoln City,OR,Precise location and time TBA,,Laura Kepford,,laura.kepford@opds.state.or.us,,,,,,,,,,,,laura.kepford@opds.state.or.us,,,,,,
