"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Early Learning Council,ELC January Quarterly Meeting,,01/30/2020 08:00:00 AM,01/30/2020 03:00:00 PM,"Early Learning Division, Grand Ronde Conference Room (Third Floor)", Salem,OR,,Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://livestream.com/accounts/5476400/EarlyLearningCouncil,,,https://oregonearlylearning.com/meeting/early-learning-council-quarterly-meeting-january-30-2020/,,,,https://oregonearlylearning.com/meeting/early-learning-council-quarterly-meeting-january-30-2020/,,,
Early Learning Council,Early Childhood Equity Fund Rules Public Hearing,,01/15/2020 03:00:00 PM,01/13/2020 05:00:00 PM,"Oregon State Library, Room 103, 250 Winter St NE",Salem,OR,,Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://zoom.us/j/807369855,669 900 6833,807 369 855,,,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-public-hearing/,,,
Early Learning Council,Preschool Promise Rules Public Hearing,A public hearing on the proposed updated rules for Preschool Promise (OARs 414-470-00xx).,01/21/2020 03:00:00 PM,01/21/2020 04:00:00 PM,"700 Summer Street NE, Suite #350", Salem,OR,"To get to the Grand Ronde Conference Room, enter the building and take the elevators to the third floor. Follow signs to your left out of the elevators and an immediate left past the first door to find the Grand Ronde. 

If you wish to submit testimony, please sign-in by 3:15pm.",Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://oregonearlylearning.com/meeting/psp-rules-public-hearing/,,,,,,,https://oregonearlylearning.com/meeting/psp-rules-public-hearing/,,,
Early Learning Council,Oregon Pre-Kindergarten Rules Public Hearing,A public hearing on the proposed updated rules for Oregon Pre-Kindergarten (OARs 414-460-00xx).,01/21/2020 02:00:00 PM,01/21/2020 03:00:00 PM,"700 Summer Street NE, Suite #350",Salem,OR,"To get to the Grand Ronde Conference Room, enter the building and take the elevators to the third floor. Follow signs to your left out of the elevators and an immediate left past the first door to find the Grand Ronde. ",Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://oregonearlylearning.com/meeting/opk-rules-hearing,,,,,,,https://oregonearlylearning.com/meeting/opk-rules-hearing,,,
Early Learning Council,Early Childhood Equity Fund Rules Advisory Committee Meeting #4,,01/24/2020 10:00:00 AM,01/24/2020 11:00:00 AM,"Oregon Community Foundation, Second Floor, 1221 Southwest Yamhill Street", Portland,OR,"The meeting will be held on the Board Room of the Oregon Community Foundation, second floor. ",Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-4/,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-4/,,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-4/,,,
Early Learning Council,Early Learning Council March 2020 Virtual Meeting,A virtual meeting of the ELC to discuss Early Learning Division business.,03/16/2020 01:30:00 PM,03/16/2020 04:00:00 PM,"Early Learning Division, Grand Ronde Conference Room (Third Floor)", Salem,OR,The Early Learning Council members will be attending virtually. Virtual access is provided. ,Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://livestream.com/accounts/5476400,,,https://oregonearlylearning.com/meeting/early-learning-council-virtual-meeting-march-16-2020/,,,,https://oregonearlylearning.com/meeting/early-learning-council-virtual-meeting-march-16-2020/,,,
Early Learning Council,Early Childhood Equity Fund Rules Advisory Committee Meeting #3,To discuss draft rules for the Early Childhood Equity Fund. ,12/13/2019 08:30:00 AM,12/13/2019 10:30:00 AM,"Oregon Community Foundation, Second Floor, 1221 SW Yamhill", Portland,OR,We have confirmed that there will be a third meeting of the ECEF RAC. Please check the website (listed below) for more details.,,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://oregoncf.zoom.us/j/461200086,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-3/,,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-3/,,,
Early Learning Council,Early Childhood Equity Fund Rules Advisory Committee Meeting #2,To discuss draft rules for the Early Childhood Equity Fund.,12/10/2019 12:00:00 PM,12/10/2019 02:00:00 PM,"Oregon Community Foundation, Second Floor, 1221 SW Yamhill", Portland,OR,,,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://zoom.us/j/542526059,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-2/,,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-2/,,,
Early Learning Council,Early Childhood Equity Fund Rules Advisory Committee Meeting #1,To discuss draft rules for the Early Childhood Equity Fund.,12/09/2019 01:00:00 PM,12/09/2019 03:00:00 PM,"Oregon Community Foundation, Second Floor, 1221 SW Yamhill", Portland,OR,,Yes,Remy Watts,503-947-0674,remy.watts@state.or.us,,,,,,,true,https://zoom.us/j/542526059,,,https://oregonearlylearning.com/meeting/early-childhood-equity-fund-rules-advisory-committee-meeting-1/,,,,https://oregonearlylearning.com/early-learning-council/early-learning-council-meeting-calendar/?term=366,,,
Early Learning Council,Early Learning Council Special Meeting,Special Meeting,08/06/2014 01:00:00 PM,,"State Lands Board Room, 775 Summer St NE", Salem,OR,,Yes,Alyssa Chatterjee,503-373-0066,alyssa.chatterjee@state.or.us,,,,,,,true,http://new.livestream.com/accounts/4436497/ODEVideo,,,,alyssa.chatterjee@state.or.us,https://data.oregon.gov/views/62jv-bp2w/files/JBK5A3lu0NOa3hnrpt6CDqi3aPTo9LQbPLyYd5rphq4?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
