"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Housing/Community Services Department,Homeownership Assistance Fund (HAF) Meeting,Informational meeting on Homeownership Assistance Fund  ,07/01/2021 11:00:00 AM,07/01/2021 12:00:00 PM,ZOOM Link,Salem ,OR,"Partners and Stakeholders,
 
I am pleased to share that we are hosting an informational meeting on the Homeowner Assistance Fund (HAF) on Thursday, July 1st at 11am. During this call, staff will be available to provide updates on the HAF planning and programming process and receive additional input.
 
To Register for the Zoom Meeting:
https://us02web.zoom.us/meeting/register/tZIkdOuorT0jHtCT7QQMNwkbb8OYhEfjQwOm 
 
Through HAF, Oregon will receive about $90 million to assist homeowners whose pandemic-related financial hardships have caused or increased a risk of mortgage delinquency or foreclosure, displacement, or loss of utilities, energy, or broadband services. Treasury requires OHCS to complete planning and engagement to evaluate the needs of Oregon homeowners. OHCS has listened to its housing partners and several committees and is excited to provide an update on the development of Oregon’s HAF mortgage assistance program.
 
At this meeting OHCS will provide an update on: OHCS’ plans for its initial $9 million in HAF funding; the HAF planning process to date; and the broad strokes of the mortgage reinstatement and assistance program design. In addition to an opportunity for discussion on those points, or to provide written feedback, OHCS hopes to collect feedback on lessons learned from the design and administration of the Hardest Hit Fund programs.
 
We hope you can attend this informational meeting.
 
With Appreciation,

Emese Perfecto, Director of Homeownership
Emese.perfecto@oregon.gov
Oregon Housing and Community Services",no,Erik Fjordbeck,5037203056,erik.fjordbeck@oregon.gov,,,,,,,true,,,,,,,
Oregon Growth Board,Oregon Growth Board Meeting,,06/22/2016 01:00:00 PM,06/22/2016 04:00:00 PM,"Treasury Tigard Office, 16290 SW Upper Boone’s Ferry Road", Tigard,OR,,Yes,Nate Wildfire,503-349-5342,nate.wildfire@oregon.gov,,,,,,,,,,http://www.oregongrowthboard.com/Meetings/,,,,
Oregon Growth Board,Growth Board Meeting,,05/09/2016 01:00:00 PM,05/09/2016 04:00:00 PM,"Treasury Tigard Office, 16290 SW Upper Boones Ferry Road", Tigard,OR,,Yes,Nate Wildfire,503-349-5342,nate.wildfire@oregon.gov,,,,,,,,,,,,,,
Public Employees Retirement Board,PERS Board Meeting ,Joint meeting with Oregon Investment Council,06/02/2021 09:00:00 AM,06/02/2021 01:00:00 PM,"Oregon State Treasury, 16290 SW Upper Boones Ferry Road",Tigard,OR,,,Kathryn Brogan,,kathryn.brogan@pers.state.or.us,,,,,,,,,,,,,,
Public Employees Retirement Board,PERS Board Meeting ,Joint meeting with Oregon Investment Council,06/02/2021 09:00:00 AM,06/02/2021 01:00:00 PM,"Oregon State Treasury, 16290 SW Upper Boones Ferry Road",Tigard,OR,PERS Board will be joining the second half of the regular OIC Board meeting 9:00am-1:00pm.,,Katie Brogan,,kathryn.brogan@pers.state.or.us,,,,,,,,,,,,,,
"State Lands, Department of",Public Hearing - Trust Property Rulemaking,,05/24/2021 10:00:00 AM,05/24/2021 11:00:00 AM,Cisco Webex, Salem,OR,"The public hearing will be jointly administered by the Department of State Lands (DSL) and the Oregon State Treasury (OST). Due to the COVID-19 pandemic, the hearing will be conducted via Cisco Webex. You may provide written or oral testimony, or both. The State Treasurer and the Department of State Lands will review and consider all testimony and public comments. ",Yes,Kaitlyn Wiggins,503-986-5279,kaitlyn.r.wiggins@dsl.state.or.us,,,,Kaitlyn Wiggins,503-986-5279,kaitlyn.r.wiggins@dsl.state.or.us,,408-418-9388,187 859 1509,,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,02/29/2012 09:00:00 AM,02/29/2012 12:00:00 PM,PERS Building, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,"11410 68th Parkway
Tigard, OR 97223
(45.438892233851, -122.74681693689)",35,18,724
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,06/26/2013 09:00:00 AM,06/26/2013 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,05/01/2013 09:00:00 AM,05/01/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,04/25/2012 09:00:00 AM,04/25/2012 12:00:00 PM,PERS Building, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  The Oregon Investment Council also may hold an executive session as part of the regular meeting at the time, date, and location listed pursuant to ORS 192.660(2)(f) & (h).  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,11/05/2014 09:00:00 AM,11/05/2014 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha’s absence, other staff will assist with these requests. The agenda may be accessed on our web site one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,"https://maps.google.com/maps?q=11410+Southwest+68th+Parkway,+Tigard,+OR+97223&hl=en&oq=11410+SW+68th+Parkway,+Tigard,+OR+97223&hnear=11410+SW+68th+Pkwy,+Tigard,+Oregon+97223&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,09/24/2014 09:00:00 AM,09/24/2014 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha’s absence, other staff will assist with these requests. The agenda may be accessed on our web site one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,"https://maps.google.com/maps?q=11410+Southwest+68th+Parkway,+Tigard,+OR+97223&hl=en&oq=11410+SW+68th+Parkway,+Tigard,+OR+97223&hnear=11410+SW+68th+Pkwy,+Tigard,+Oregon+97223&t=m&z=16",http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,01/23/2013 09:00:00 AM,01/23/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  Meeting end time is approximate.  The meeting location is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx#OICMin,,,,
"Treasurer, Oregon State",Oregon Short-Term Fund (OSTF) Board Meeting,The OSTF Board will review and comment on various entities Investment Policies,04/12/2012 10:00:00 AM,04/12/2012 12:00:00 PM,"Oregon State Treasury, Labor & Industries Building", Salem,OR,,,Heidi Rawe,503-378-4552,heidi.rawe@ost.state.or.us,,,,,,,,Contact Heidi Rawe at 503-378-4552 for call-in information,,http://www.ost.state.or.us/about/OSTF/,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,12/04/2013 09:00:00 AM,12/04/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,07/31/2013 09:00:00 AM,07/31/2013 01:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location. Meeting end time is approximate. The meeting location is accessible to persons with disabilities. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111. In Martha's absence, other staff will assist with these requests. The agenda may be accessed on our website one week prior to the scheduled meeting.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,http://maps.google.com/maps?q=11410+Southwest+68th+Parkway%2c+Tigard%2c+OR+97223&hl=en&oq=11410+SW+68th+Parkway%2c+Tigard%2c+OR+97223&hnear=11410+SW+68th+Pkwy%2c+Tigard%2c+Oregon+97223&t=m&z=16,http://www.oregon.gov/treasury/Newsroom/Pages/Calendar.aspx,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.oregon.gov/treasury/Divisions/Investment/Pages/Oregon-Investment-Council-(OIC).aspx,,,,
